animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,predicted,probability,correct?
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,1.0,CORRECT
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,4,0.9999548528223164,CORRECT
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,4,0.9999999999982139,CORRECT
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,1.0,CORRECT
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,7,0.9999999999999528,CORRECT
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,1.0,CORRECT
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,6,0.6078687694732356,CORRECT
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,1.0,CORRECT
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,1,1.0,CORRECT
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,4,0.9999999999974201,CORRECT
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,1.0,CORRECT
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,1.0,CORRECT
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,7,1.0,CORRECT
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,1.0,CORRECT
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2,2,0.9999999999999998,CORRECT
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,4,0.9999999999781696,CORRECT
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,4,0.9999999999982139,CORRECT
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,1,1.0,CORRECT
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1,1,1.0,CORRECT
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,7,0.7024921250109656,wrong
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,2,1.0,CORRECT
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,2,1.0,CORRECT
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,7,0.9999999827711481,CORRECT
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,2,1.0,CORRECT
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4,4,0.9999999999957747,CORRECT
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5,1,0.9999999999275625,wrong
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,4,0.9999999999781696,CORRECT
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2,2,1.0,CORRECT
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6,6,1.0,CORRECT
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,2,1.0,CORRECT
